year,CAT,C_MA,GAT,G_MA
1796,26.53,26.92111111,8.27,8.55
1797,27.48,26.92111111,8.51,8.55
1798,26.2,26.92111111,8.67,8.55
1799,26.84,26.92111111,8.51,8.55
1800,26.88,26.92111111,8.48,8.55
1801,26.05,26.92111111,8.59,8.55
1802,27.44,26.92111111,8.58,8.55
1803,27.22,26.92111111,8.5,8.55
1804,27.65,26.92111111,8.84,8.55
1805,27.02,26.392,8.56,7.614
1806,26.89,26.392,8.43,7.614
1807,26.15,26.392,8.28,7.614
1808,,26.392,7.63,7.614
1809,,26.392,7.08,7.614
1810,,26.392,6.92,7.614
1811,,26.392,6.86,7.614
1812,,26.392,7.05,7.614
1813,26.25,26.392,7.74,7.614
1814,25.65,26.392,7.59,7.614
1815,25.8,26.091,7.24,7.653
1816,25.38,26.091,6.94,7.653
1817,25.61,26.091,6.98,7.653
1818,25.83,26.091,7.83,7.653
1819,25.78,26.091,7.37,7.653
1820,25.88,26.091,7.62,7.653
1821,26.45,26.091,8.09,7.653
1822,26.43,26.091,8.19,7.653
1823,26.65,26.091,7.72,7.653
1824,27.1,26.091,8.55,7.653
1825,26.72,26.599,8.39,8.144
1826,26.89,26.599,8.36,8.144
1827,26.73,26.599,8.81,8.144
1828,26.63,26.599,8.17,8.144
1829,26.47,26.599,7.94,8.144
1830,26.45,26.599,8.52,8.144
1831,26.41,26.599,7.64,8.144
1832,26.63,26.599,7.45,8.144
1833,26.5,26.599,8.01,8.144
1834,26.56,26.599,8.15,8.144
1835,25.8,26.182,7.39,7.694
1836,26.19,26.182,7.7,7.694
1837,26.24,26.182,7.38,7.694
1838,26.33,26.182,7.51,7.694
1839,26.34,26.182,7.63,7.694
1840,26.44,26.182,7.8,7.694
1841,26.12,26.182,7.69,7.694
1842,26.27,26.182,8.02,7.694
1843,26.01,26.182,8.17,7.694
1844,26.08,26.182,7.65,7.694
1845,26.39,26.491,7.85,8.088
1846,26.82,26.491,8.55,8.088
1847,26.31,26.491,8.09,8.088
1848,26.32,26.491,7.98,8.088
1849,26.26,26.491,7.98,8.088
1850,26.47,26.491,7.9,8.088
1851,26.45,26.491,8.18,8.088
